Удалённость;Высота
0;112
200;116
400;120
600;126
800;129
1000;199
1200;146
1400;156
1600;164
1800;177
2000;199
2200;193
2400;159
2600;140
2800;119
3000;102
3200;85
3400;68
3600;60
3800;49
4000;35
4200;26
4400;14
4600;6
