Удалённость;Высота
0;6
200;3
400;4
600;8
800;10
1000;12
1200;14
1400;30
1600;34
1800;34
2000;41
2200;38
2400;46
2600;54
2800;61
3000;63
3200;75
3400;82
3600;94
3800;98
4000;103
4200;111
4400;115
4600;129
4800;131
5000;144
5200;161
5400;175
5600;195
5800;218
6000;247
6200;274
6400;303
6600;350
6800;380
