Удалённость;Высота
0;374
200;289
400;258
600;249
800;233
1000;221
1200;213
1400;206
1600;198
1800;193
2000;186
2200;178
2400;174
2600;170
2800;166
3000;162
3200;155
3400;152
3600;148
3800;143
4000;138
4200;137
4400;133
4600;131
4800;128
5000;123
5200;122
5400;123
5600;126
5800;110
6000;103
